Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"CBI BSA B";FR001400O408;CBSAB;"Euronext Growth Paris";EUR;'0.0025;'0.0025;'0.0025;'0.0025;"26/08/2024 17:07";CET;20025;50.06;'0.0025;26/08/2024
"CBO TERRITORIA";FR0010193979;CBOT;"Euronext Paris";EUR;3.53;3.53;3.51;3.52;"26/08/2024 16:49";CET;8155;28769.11;3.52;26/08/2024
"CBRE H2O";NL0012237614;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-;-;-
CECONOMY;DE0007257503;4CEC;EuroTLX;EUR;2.618;2.618;2.618;2.618;"14/08/2024 10:00";CET;1600;4188.80;2.776;26/08/2024
CECONOMY;DE0007257503;1CEC;"Euronext Global Equity Market";EUR;2.796;2.796;2.796;2.796;"26/08/2024 11:22";CET;3577;10001.29;2.782;26/08/2024
CECONOMY;DE0007257503;2CEC;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
CEGEDIM;FR0000053506;CGM;"Euronext Paris";EUR;12.70;12.80;12.65;12.65;"26/08/2024 17:35";CET;2027;25778.50;12.65;26/08/2024
CELLECTIS;FR0010425595;ALCLS;"Euronext Growth Paris";EUR;2.095;2.135;2.065;2.065;"26/08/2024 17:17";CET;34865;72994.36;2.065;26/08/2024
CELLULARLINE;IT0005244618;CELL;"Euronext Milan";EUR;2.58;2.61;2.53;2.56;"26/08/2024 17:35";CET;15605;40465.82;2.56;26/08/2024
"CELYAD ONCOLOGY";BE0974260896;CYAD;"Euronext Brussels, Paris";EUR;'0.234;'0.27;'0.234;'0.27;"26/08/2024 17:35";CET;40981;10856.25;'0.27;26/08/2024
CEMBRE;IT0001128047;CMB;"Euronext Milan";EUR;37.05;37.70;37.05;37.50;"26/08/2024 17:35";CET;2081;77886.75;37.50;26/08/2024
"CEMENTIR HOLDING";NL0013995087;CEM;"Euronext Milan";EUR;9.89;9.93;9.85;9.90;"26/08/2024 17:35";CET;45139;'446570.13;9.90;26/08/2024
CENERGY;BE0974303357;CENER;"Euronext Brussels";EUR;10.50;10.50;9.91;10.38;"26/08/2024 17:35";CET;2008;20705.84;10.38;26/08/2024
CENTENE;US15135B1017;4CNC;EuroTLX;EUR;71.62;71.62;71.62;71.62;"'01/08/2024 12:08";CET;15;1074.30;70.01;26/08/2024
CENTENE;US15135B1017;1CNC;"Euronext Global Equity Market";EUR;64.07;64.07;64.07;64.07;"'04/06/2024 14:40";CET;15;961.05;70.09;26/08/2024
CENTENE;US15135B1017;2CNC;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"CERINNOV GROUP";FR0013178712;ALPCV;"Euronext Growth Paris";EUR;1.74;1.80;1.705;1.80;"26/08/2024 17:35";CET;17727;31361.97;1.80;26/08/2024
CFE;BE0003883031;CFEB;"Euronext Brussels";EUR;7.35;7.38;7.35;7.38;"26/08/2024 17:35";CET;1594;11739.07;7.38;26/08/2024
CFI;FR0000037475;CFI;"Euronext Paris";EUR;'0.50;'0.50;'0.50;'0.50;"26/08/2024 11:30";CET;10;5.00;'0.50;26/08/2024
"CFM INDOSUEZWEALTH";MC0010000826;MLCFM;"Euronext Access Paris";EUR;1100.00;1100.00;1100.00;1100.00;"26/08/2024 11:30";CET;65;71500.00;1100.00;26/08/2024
"CH.FER DEPARTEMENT";FR0000037871;MLCFD;"Euronext Access Paris";EUR;720.00;720.00;720.00;720.00;"17/07/2024 16:34";CET;20;14400.00;720.00;26/08/2024
"CH.FER VAR GARD N.";FR0000051567;MLCVG;"Euronext Access Paris";EUR;7950.00;7950.00;7950.00;7950.00;"'08/08/2024 16:30";CET;1;7950.00;7950.00;26/08/2024
"CHARB BONNIER";BE0010381029;-;"Euronext Expert Market";EUR;94.50;94.50;94.50;94.50;"20/08/2024 11:30";CET;60;5670.00;94.50;26/08/2024
CHARGEURS;FR0000130692;CRI;"Euronext Paris";EUR;11.82;12.00;11.82;12.00;"26/08/2024 17:35";CET;3870;46061.84;12.00;26/08/2024
"CHARTER COMM";US16119P1084;4CHTR;EuroTLX;EUR;316.20;316.20;316.20;316.20;"20/08/2024 15:45";CET;5;1581.00;317.80;26/08/2024
"CHARTER COMM";US16119P1084;2CHTR;"Trading After Hours";EUR;255.25;255.25;255.25;255.25;"24/05/2024 18:43";CET;2;510.50;353.20;31/07/2024
"CHARTER COMM";US16119P1084;1CHTR;"Euronext Global Equity Market";EUR;333.85;333.85;322.85;328.30;"'05/08/2024 15:14";CET;216;71312.90;317.25;26/08/2024
"CHARWOOD ENERGY";FR001400AJ60;ALCWE;"Euronext Growth Paris";EUR;2.98;3.00;2.96;2.96;"26/08/2024 16:00";CET;1080;3233.24;2.96;26/08/2024
CHAUSSERIA;FR0000060907;CHSR;"Euronext Paris";EUR;7.00;7.00;7.00;7.00;"14/08/2024 16:30";CET;15;105.00;7.00;26/08/2024
"CHEOPS TECHNOLOGY";FR0010447086;MLCHE;"Euronext Access Paris";EUR;67.00;67.00;67.00;67.00;"23/08/2024 16:30";CET;15;1005.00;67.00;26/08/2024
CHEVRON;US1667641005;1CVX;"Euronext Global Equity Market";EUR;132.92;134.38;132.92;133.92;"26/08/2024 16:15";CET;138;18497.12;132.56;26/08/2024
CHEVRON;US1667641005;2CVX;"Trading After Hours";EUR;142.62;142.62;142.62;142.62;"12/06/2024 18:45";CET;35;4991.70;148.54;31/07/2024
CHEVRON;US1667641005;4CVX;EuroTLX;EUR;131.44;131.44;131.44;131.44;"14/08/2024 11:18";CET;19;2497.36;132.56;26/08/2024
CHL;IT0001446613;CHL;"Euronext Milan";EUR;'0.0046;'0.0046;'0.0045;'0.0046;"'06/12/2019 00:00";CET;5666511;25730.9106;'0.0045;26/08/2024
CHOICE;BE0974370026;MLTV;"Euronext Access Brussels";EUR;1.49;1.49;1.49;1.49;"30/05/2023 16:30";CET;2640;3933.60;1.49;26/08/2024
"CHRISTIAN DIOR";FR0000130403;CDI;"Euronext Paris";EUR;629.50;634.50;629.00;630.00;"26/08/2024 17:35";CET;947;'597600.00;630.00;26/08/2024
CIBIX;BE0003706208;-;"Euronext Expert Market";EUR;-;-;-;-;-;CET;-;-;-;-
"CIBOX INTER A CTIV";FR0000054322;ALCBX;"Euronext Growth Paris";EUR;'0.0456;'0.052;'0.041;'0.045;"26/08/2024 17:35";CET;9124036;'432231.92;'0.045;26/08/2024
"CIE BOIS SAUVAGE";BE0003592038;COMB;"Euronext Brussels";EUR;265.00;268.00;262.00;266.00;"26/08/2024 17:35";CET;567;'149953.00;266.00;26/08/2024
"CIE DU MONT BLANC";FR0000060428;MLCMB;"Euronext Access Paris";EUR;142.00;142.00;142.00;142.00;"26/08/2024 16:30";CET;7;994.00;142.00;26/08/2024
"Cie HET ZOUTE";BE0027840017;-;"Euronext Expert Market";EUR;5700.00;5700.00;5700.00;5700.00;"'06/02/2024 11:30";CET;1;5700.00;5700.00;26/08/2024
CIENA;US1717793095;4CIEN;EuroTLX;EUR;44.83;44.83;44.83;44.83;"25/07/2024 12:31";CET;50;2241.50;50.76;26/08/2024
CIENA;US1717793095;1CIEN;"Euronext Global Equity Market";EUR;43.41;43.41;43.41;43.41;"20/06/2024 16:58";CET;20;868.20;50.78;26/08/2024
CIENA;US1717793095;2CIEN;"Trading After Hours";EUR;42.76;42.76;42.76;42.76;"10/06/2024 20:05";CET;20;855.20;48.65;31/07/2024
CIR;IT0000070786;CIR;"Euronext Milan";EUR;'0.606;'0.606;'0.599;'0.599;"26/08/2024 17:35";CET;391951;'235880.55;'0.599;26/08/2024
"CIRCA GROUP";NO0010917594;CIRCA;"Euronext Growth Oslo";NOK;'0.428;'0.44;'0.40;'0.44;"26/08/2024 16:25";CET;228211;95974.30;'0.44;26/08/2024
"CIRCIO HOLDING";NO0013033795;CRNA;"Oslo Børs";NOK;1.30;1.30;1.245;1.30;"26/08/2024 16:25";CET;88073;'110942.84;1.30;26/08/2024
CIRCLE;IT0005344996;CIRC;"Euronext Growth Milan";EUR;7.90;8.48;7.90;8.44;"26/08/2024 17:35";CET;16500;'137009.40;8.44;26/08/2024
"CISCO SYSTEMS";US17275R1023;4CSCO;EuroTLX;EUR;45.805;48.715;45.60;45.60;"21/08/2024 14:50";CET;3070;'142832.80;45.635;26/08/2024
"CISCO SYSTEMS";US17275R1023;1CSCO;"Euronext Global Equity Market";EUR;45.40;45.40;45.40;45.40;"26/08/2024 17:14";CET;16;726.40;45.505;26/08/2024
"CISCO SYSTEMS";US17275R1023;2CSCO;"Trading After Hours";EUR;42.775;42.775;42.775;42.775;"'07/06/2024 19:54";CET;50;2138.75;44.635;31/07/2024
CITIGROUP;US1729674242;2C;"Trading After Hours";EUR;59.28;59.28;59.28;59.28;"24/07/2024 20:23";CET;1;59.28;60.84;31/07/2024
CITIGROUP;US1729674242;1C;"Euronext Global Equity Market";EUR;54.70;54.70;54.70;54.70;"23/08/2024 15:21";CET;46;2516.20;55.35;26/08/2024
CITIGROUP;US1729674242;4C;EuroTLX;EUR;60.11;60.11;60.11;60.11;"30/07/2024 14:50";CET;8;480.88;55.41;26/08/2024
CKV;BE0021556221;-;"Euronext Expert Market";EUR;51.47;51.47;51.47;51.47;"13/10/2015 11:30";CET;253;13021.91;51.50;26/08/2024
CLABO;IT0005091324;CLABO;"Euronext Growth Milan";EUR;1.99;2.02;1.985;2.00;"26/08/2024 17:26";CET;5000;10042.50;2.00;26/08/2024
CLARANOVA;FR0013426004;CLA;"Euronext Paris";EUR;1.48;1.48;1.454;1.48;"26/08/2024 17:35";CET;22703;33371.39;1.48;26/08/2024
CLARIANE;FR0010386334;2CLARI;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
CLARIANE;FR0010386334;CLARI;"Euronext Paris";EUR;1.847;1.929;1.832;1.914;"26/08/2024 17:35";CET;1062441;'2003756.10;1.914;26/08/2024
CLASQUIN;FR0004152882;ALCLA;"Euronext Growth Paris";EUR;136.50;136.50;136.50;136.50;"26/08/2024 17:28";CET;708;96642.00;136.50;26/08/2024
"CLASS EDITORI";IT0005117848;CLE;"Euronext Milan";EUR;'0.0812;'0.0856;'0.0812;'0.0856;"26/08/2024 17:02";CET;14183;1196.60;'0.0856;26/08/2024
"CLEAN SEAS SEAFOOD";AU000000CSS3;CSS;"Euronext Growth Oslo";NOK;2.10;2.10;2.10;2.10;"26/08/2024 12:42";CET;4848;10180.80;2.10;26/08/2024
CLEANBNB;IT0005377277;CBB;"Euronext Growth Milan";EUR;1.215;1.215;1.20;1.21;"26/08/2024 16:01";CET;16800;20296.00;1.21;26/08/2024
CLEVELAND-CLIFFS;US1858991011;4CVA;EuroTLX;EUR;-;-;-;15.10;"'07/09/2023 00:00";CET;'0;-;12.354;26/08/2024
CLEVELAND-CLIFFS;US1858991011;2CVA;"Trading After Hours";EUR;20.49;20.49;20.49;20.49;"12/04/2024 20:12";CET;50;1024.50;14.216;31/07/2024
CLEVELAND-CLIFFS;US1858991011;1CVA;"Euronext Global Equity Market";EUR;13.864;13.864;13.864;13.864;"23/07/2024 15:25";CET;50;693.20;12.36;26/08/2024
"CLOUDBERRY CLEAN";NO0010876642;CLOUD;"Oslo Børs";NOK;12.32;12.80;12.30;12.80;"26/08/2024 16:25";CET;234126;'2958188.14;12.80;26/08/2024
"CLOUDIA RESEARCH";IT0005577090;AGAIN;"Euronext Growth Milan";EUR;2.94;2.94;2.94;2.94;"20/08/2024 09:22";CET;1000;2940.00;2.94;26/08/2024
CM.COM;NL0012747059;CMCOM;"Euronext Amsterdam";EUR;6.67;6.70;6.66;6.70;"26/08/2024 17:35";CET;6286;42065.12;6.70;26/08/2024
"CMG CLEANTECH";FR0013406881;MLCMG;"Euronext Access Paris";EUR;'0.675;'0.675;'0.675;'0.675;"26/08/2024 11:30";CET;10;6.75;'0.675;26/08/2024
"CNH INDUSTRIAL";NL0010545661;2CNHI;"Trading After Hours";EUR;9.80;9.80;9.80;9.80;"31/07/2024 20:29";CET;2399;23510.20;9.80;31/07/2024
"CNH INDUSTRIAL";NL0010545661;1CNHI;"Euronext Global Equity Market";EUR;9.066;9.228;9.028;9.12;"26/08/2024 17:35";CET;26958;'246409.98;9.12;26/08/2024
CNOVA;NL0010949392;CNV;"Euronext Paris";EUR;2.34;2.34;2.34;2.34;"26/08/2024 09:00";CET;42;98.28;2.34;26/08/2024
CO.BR.HA;BE0003519270;COBH;"Euronext Growth Brussels";EUR;1700.00;1700.00;1700.00;1700.00;"21/08/2024 11:30";CET;1;1700.00;1700.00;26/08/2024
Coca-ColaEuropacif;GB00BDCPN049;CCEP;"Euronext Amsterdam";EUR;70.70;70.80;70.20;70.80;"26/08/2024 17:35";CET;2959;'209151.40;70.80;26/08/2024
"CODELAB CAPITAL";NO0010895667;CODE;"Euronext Growth Oslo";NOK;'0.36;'0.36;'0.28;'0.332;"26/08/2024 16:25";CET;355972;'109621.76;'0.332;26/08/2024
"COEUR MINING";US1921085049;2CDE;"Trading After Hours";EUR;5.758;5.758;5.758;5.758;"31/07/2024 18:00";CET;230;1324.34;5.758;31/07/2024
"COEUR MINING";US1921085049;1CDE;"Euronext Global Equity Market";EUR;5.85;5.85;5.85;5.85;"21/08/2024 09:08";CET;600;3510.00;5.652;26/08/2024
"COEUR MINING";US1921085049;4CDE;EuroTLX;EUR;5.652;5.652;5.652;5.652;"'05/07/2024 16:38";CET;540;3052.08;5.652;26/08/2024
COFACE;FR0010667147;2COFA;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
COFACE;FR0010667147;COFA;"Euronext Paris";EUR;14.54;14.60;14.50;14.52;"26/08/2024 17:35";CET;44072;'641233.14;14.52;26/08/2024
COFIDUR;FR0013257409;ALCOF;"Euronext Growth Paris";EUR;356.00;360.00;356.00;360.00;"26/08/2024 11:12";CET;34;12164.00;360.00;26/08/2024
COFINA,SGPS;PTCFN0AE0003;CFN;"Euronext Lisbon";EUR;'0.62;'0.626;'0.578;'0.626;"26/08/2024 21:35";BST;46100;27280.46;'0.626;26/08/2024
COFINIMMO;BE0003593044;COFB;"Euronext Brussels";EUR;62.90;63.30;62.50;63.10;"26/08/2024 17:35";CET;23416;'1474758.65;63.10;26/08/2024
COFINIMMO;BE0003593044;2COFB;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
COFLE;IT0005465619;CFL;"Euronext Growth Milan";EUR;4.86;4.86;4.78;4.80;"26/08/2024 17:35";CET;4350;21007.00;4.80;26/08/2024
COGELEC;FR0013335742;ALLEC;"Euronext Growth Paris";EUR;10.80;10.90;10.70;10.90;"26/08/2024 10:07";CET;163;1767.30;10.90;26/08/2024
COGRA;FR0011071570;ALCOG;"Euronext Growth Paris";EUR;5.74;5.76;5.60;5.60;"26/08/2024 17:35";CET;777;4398.28;5.60;26/08/2024
COHERIS;FR0004031763;COH;"Euronext Paris";EUR;6.18;6.44;6.18;6.42;"26/08/2024 14:24";CET;192;1196.74;6.42;26/08/2024
COIL;BE0160342011;ALCOI;"Euronext Growth Paris";EUR;4.52;4.53;4.32;4.53;"26/08/2024 11:25";CET;527;2379.00;4.53;26/08/2024
"COINBASE GLOBAL";US19260Q1076;1COIN;"Euronext Global Equity Market";EUR;190.00;190.40;183.50;185.40;"26/08/2024 17:35";CET;1132;'211831.74;185.40;26/08/2024
"COINBASE GLOBAL";US19260Q1076;2COIN;"Trading After Hours";EUR;217.90;217.90;217.90;217.90;"30/07/2024 18:02";CET;43;9369.70;214.45;31/07/2024
"COINBASE GLOBAL";US19260Q1076;4COIN;EuroTLX;EUR;189.86;190.20;187.54;187.54;"26/08/2024 15:31";CET;80;15174.84;185.24;26/08/2024
COLGATE-PALMOLIVE;US1941621039;4CL;EuroTLX;EUR;92.86;92.86;92.86;92.86;"21/08/2024 11:39";CET;2;185.72;93.82;26/08/2024
COLGATE-PALMOLIVE;US1941621039;2CL;"Trading After Hours";EUR;80.77;80.77;80.77;80.77;"'04/04/2024 20:27";CET;5;403.85;91.61;31/07/2024
COLGATE-PALMOLIVE;US1941621039;1CL;"Euronext Global Equity Market";EUR;92.60;92.60;91.88;91.88;"16/08/2024 14:32";CET;9;828.36;93.85;26/08/2024
COLIPAYS;FR0010959684;MLCLP;"Euronext Access Paris";EUR;1.02;1.02;1.02;1.02;"26/08/2024 16:30";CET;75;76.50;1.02;26/08/2024
COLRUYT;BE0974256852;COLR;"Euronext Brussels";EUR;45.02;45.52;45.02;45.52;"26/08/2024 17:35";CET;30262;'1373525.84;45.52;26/08/2024
COMAL;IT0005428971;CML;"Euronext Growth Milan";EUR;3.68;3.72;3.66;3.68;"26/08/2024 17:35";CET;41579;'153270.87;3.68;26/08/2024
COMCAST;US20030N1019;4CMCSA;EuroTLX;EUR;36.65;36.66;36.65;36.66;"'05/08/2024 14:59";CET;442;16201.51;36.13;26/08/2024
COMCAST;US20030N1019;2CMCSA;"Trading After Hours";EUR;38.80;38.80;38.80;38.80;"'08/03/2024 18:00";CET;2;77.60;38.28;31/07/2024
COMCAST;US20030N1019;1CMCSA;"Euronext Global Equity Market";EUR;36.165;36.165;36.165;36.165;"19/08/2024 12:54";CET;42;1518.93;36.195;26/08/2024
"COMER INDUSTRIES";IT0005246191;COM;"Euronext Milan";EUR;33.80;33.80;33.20;33.80;"26/08/2024 17:35";CET;2723;90917.00;33.80;26/08/2024
"COMMERCIALE BELGE";BE0013068706;-;"Euronext Expert Market";EUR;680.00;680.00;680.00;680.00;"'09/07/2019 11:30";CET;10;6800.00;680.00;26/08/2024
COMMERZBANK;DE000CBK1001;2CBK;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
COMMERZBANK;DE000CBK1001;4CBK;EuroTLX;EUR;12.755;12.755;12.755;12.755;"20/08/2024 11:52";CET;150;1913.25;13.06;26/08/2024
COMMERZBANK;DE000CBK1001;1CBK;"Euronext Global Equity Market";EUR;13.00;13.085;13.00;13.075;"26/08/2024 17:29";CET;1683;21996.27;13.075;26/08/2024
"COMPAGNIA  CARAIBI";IT0005453235;TIME;"Euronext Growth Milan";EUR;'0.888;'0.92;'0.85;'0.878;"26/08/2024 17:35";CET;33300;29490.00;'0.878;26/08/2024
"COMPAGNIE ODET";FR0000062234;ODET;"Euronext Paris";EUR;1464.00;1486.00;1464.00;1482.00;"26/08/2024 17:35";CET;147;'217432.00;1482.00;26/08/2024
CONAFI;IT0004105653;CNF;"Euronext Milan";EUR;'0.21;'0.214;'0.21;'0.214;"26/08/2024 14:17";CET;4010;844.14;'0.214;26/08/2024
"CONDOR TECHNOLOG";BE6252013725;MLMFI;"Euronext Access Paris";EUR;12.00;12.00;12.00;12.00;"29/02/2024 16:30";CET;1748;20976.00;12.00;26/08/2024
CONDURIL;PTCDU0AE0003;CDU;"Euronext Access Lisbon";EUR;28.00;28.00;28.00;28.00;"28/06/2024 20:30";BST;25;700.00;28.00;26/08/2024
CONFINVEST;IT0005379604;CFV;"Euronext Growth Milan";EUR;2.00;2.04;1.91;1.93;"26/08/2024 17:35";CET;63000;'123580.00;1.93;26/08/2024
CONOCOPHILLIPS;US20825C1045;1COP;"Euronext Global Equity Market";EUR;96.29;96.29;95.64;95.64;"'05/08/2024 10:24";CET;6;575.79;101.26;26/08/2024
CONOCOPHILLIPS;US20825C1045;2COP;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
CONOCOPHILLIPS;US20825C1045;4COP;EuroTLX;EUR;113.82;113.82;113.82;113.82;"14/05/2024 11:59";CET;4;455.28;101.28;26/08/2024
"CONSOLIDATED EDIS";US2091151041;2ED;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"CONSOLIDATED EDIS";US2091151041;4ED;EuroTLX;EUR;91.16;91.16;91.16;91.16;"19/08/2024 15:40";CET;5;455.80;90.52;26/08/2024
"CONSOLIDATED EDIS";US2091151041;1ED;"Euronext Global Equity Market";EUR;91.46;91.46;91.46;91.46;"14/08/2024 17:22";CET;4;365.84;90.50;26/08/2024
"CONSORT NT";FR0000077828;MLCNT;"Euronext Access Paris";EUR;70.00;70.00;70.00;70.00;"27/02/2023 16:30";CET;24;1680.00;66.00;26/08/2024
"CONSTELLATION BR";US21036P1084;4STZ;EuroTLX;EUR;232.00;232.00;232.00;232.00;"15/07/2024 09:00";CET;15;3480.00;218.80;26/08/2024
"CONSTELLATION BR";US21036P1084;1STZ;"Euronext Global Equity Market";EUR;219.40;219.40;219.40;219.40;"21/08/2024 15:20";CET;46;10092.40;218.70;26/08/2024
"CONSTELLATION BR";US21036P1084;2STZ;"Trading After Hours";EUR;243.30;243.30;243.30;243.30;"12/07/2024 20:16";CET;8;1946.40;226.50;31/07/2024
"CONSTRUCTEURS BOIS";FR00140007I9;MLLCB;"Euronext Access Paris";EUR;3.48;3.48;3.36;3.36;"23/08/2024 16:30";CET;545;1836.60;3.36;26/08/2024
CONTEXTVISION;SE0014731154;CONTX;"Oslo Børs";NOK;5.82;6.02;5.80;6.02;"26/08/2024 16:08";CET;56184;'331133.56;6.02;26/08/2024
"CONTINENT. LAND CY";NL0000121622;-;"Euronext Expert Market";EUR;20.40;20.40;20.40;20.40;"14/04/2020 11:30";CET;251;5120.40;20.40;26/08/2024
CONTINENTAL;DE0005439004;2CON;"Trading After Hours";EUR;57.28;57.28;57.28;57.28;"'09/07/2024 19:10";CET;4;229.12;56.70;31/07/2024
CONTINENTAL;DE0005439004;1CON;"Euronext Global Equity Market";EUR;59.62;59.62;59.62;59.62;"26/08/2024 09:49";CET;1;59.62;59.86;26/08/2024
CONTINENTAL;DE0005439004;4CON;EuroTLX;EUR;58.82;58.82;58.82;58.82;"14/08/2024 14:08";CET;100;5882.00;59.84;26/08/2024
CONVERGENZE;IT0005426215;CVG;"Euronext Growth Milan";EUR;1.68;1.69;1.68;1.69;"26/08/2024 14:06";CET;1000;1685.00;1.69;26/08/2024
"COOL COMPANY";BMG2415A1137;CLCO;"Euronext Growth Oslo";NOK;122.00;123.40;120.20;122.70;"26/08/2024 16:25";CET;26973;'3302309.00;122.70;26/08/2024
COPERNICO;IT0005379406;COP;"Euronext Growth Milan";EUR;4.66;5.05;4.62;5.05;"26/08/2024 17:35";CET;8000;38885.00;5.05;26/08/2024
CORBION;NL0010583399;2CRBN;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
CORBION;NL0010583399;CRBN;"Euronext Amsterdam";EUR;21.50;21.70;21.32;21.54;"26/08/2024 17:35";CET;30100;'647844.84;21.54;26/08/2024
"CORE SPAIN HOLDCO";ES0105660007;MLCOE;"Euronext Access Paris";EUR;16.60;16.60;16.60;16.60;"17/11/2022 00:00";CET;-;-;16.60;26/08/2024
"COREP LIGHTING";FR0010035816;MLCOR;"Euronext Access Paris";EUR;9.00;9.00;9.00;9.00;"27/02/2024 11:30";CET;47;423.00;9.00;26/08/2024
"CORESTATE CAPITAL";LU1296758029;2CCAP;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"CORESTATE CAPITAL";LU1296758029;1CCAP;"Euronext Global Equity Market";EUR;-;-;-;-;-;CET;-;-;-;-
"CORETECH 5";FR0013371507;MLCOT;"Euronext Access Paris";EUR;'0.023;'0.023;'0.023;'0.023;"15/08/2024 11:30";CET;4000;92.00;'0.023;26/08/2024
CORNING;US2193501051;4GLW;EuroTLX;EUR;35.10;35.10;35.10;35.10;"'08/08/2024 15:23";CET;3;105.30;37.85;26/08/2024
CORNING;US2193501051;1GLW;"Euronext Global Equity Market";EUR;37.37;37.37;37.37;37.37;"21/08/2024 11:28";CET;268;10015.16;37.81;26/08/2024
CORNING;US2193501051;2GLW;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
"CORRE ENERGY B.V.";NL0015000DY3;CORRE;"Euronext Growth Dublin";EUR;'0.12;'0.17;'0.12;'0.17;"26/08/2024 21:08";IST;126329;16416.28;'0.17;26/08/2024
"CORTICEIRA AMORIM";PTCOR0AE0006;COR;"Euronext Lisbon";EUR;8.90;8.92;8.84;8.92;"26/08/2024 21:35";BST;30304;'269187.15;8.92;26/08/2024
"COSTCO WHOLESALE";US22160K1051;2COST;"Trading After Hours";EUR;756.80;756.80;756.80;756.80;"18/07/2024 18:13";CET;3;2270.40;761.80;31/07/2024
"COSTCO WHOLESALE";US22160K1051;1COST;"Euronext Global Equity Market";EUR;792.40;792.40;792.40;792.40;"26/08/2024 15:28";CET;3;2377.20;797.40;26/08/2024
"COSTCO WHOLESALE";US22160K1051;4COST;EuroTLX;EUR;792.10;792.10;792.10;792.10;"26/08/2024 15:33";CET;3;2376.30;796.00;26/08/2024
COTY;US2220702037;2COTY;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;-;-
COTY;US2220702037;COTY;"Euronext Paris";EUR;8.93;8.95;8.75;8.75;"26/08/2024 17:13";CET;431;3831.78;8.75;26/08/2024
COTY;US2220702037;1COTY;"Euronext Global Equity Market";EUR;-;-;-;-;-;CET;-;-;-;-
COURBET;FR0004998318;MLCOU;"Euronext Access Paris";EUR;3.20;3.20;3.20;3.20;"26/08/2024 16:30";CET;172;550.40;3.20;26/08/2024
COURTOIS;FR0000065393;COUR;"Euronext Paris";EUR;119.00;119.00;119.00;119.00;"26/08/2024 13:48";CET;2;238.00;119.00;26/08/2024
COVESTRO;DE0006062144;11COV;"Euronext Global Equity Market";EUR;52.56;52.56;52.56;52.56;"'05/08/2024 09:30";CET;90;4730.40;53.82;26/08/2024
COVESTRO;DE0006062144;21COV;"Trading After Hours";EUR;52.18;52.18;52.18;52.18;"15/04/2024 20:27";CET;50;2609.00;54.58;31/07/2024
COVESTRO;DE0006062144;41COV;EuroTLX;EUR;55.36;55.36;55.36;55.36;"30/07/2024 14:53";CET;9;498.24;53.74;26/08/2024
COVIVIO;FR0000064578;COV;"Euronext Paris";EUR;51.25;51.75;51.00;51.65;"26/08/2024 17:35";CET;87197;'4489472.50;51.65;26/08/2024
COVIVIO;FR0000064578;2COV;"Trading After Hours";EUR;39.02;39.02;39.02;39.02;"'04/03/2024 18:00";CET;11;429.22;47.74;31/07/2024
"COVIVIO HOTELS";FR0000060303;COVH;"Euronext Paris";EUR;18.05;18.10;18.00;18.10;"26/08/2024 17:35";CET;1979;35753.10;18.10;26/08/2024
"COVIVIO REIT";FR0000064578;4COV;EuroTLX;EUR;51.00;51.10;50.25;51.10;"26/08/2024 10:47";CET;295;14986.50;51.65;26/08/2024
"CP 76 PETROFINA";BE0099150162;-;"Euronext Expert Market";EUR;28.10;28.10;28.10;28.10;"'03/11/2020 11:30";CET;9;252.90;28.20;26/08/2024
"CP 79 PETROFINA";BE0099395676;-;"Euronext Expert Market";EUR;80.40;80.40;80.40;80.40;"'03/11/2020 11:30";CET;1;80.40;80.50;26/08/2024
"CRAYON GROUP HOLD";NO0010808892;CRAYN;"Oslo Børs";NOK;121.10;121.50;114.30;114.30;"26/08/2024 16:25";CET;235595;'27642243.20;114.30;26/08/2024
"CRCAM ALP.PROV.CCI";FR0000044323;CRAP;"Euronext Paris";EUR;72.00;73.00;72.00;72.01;"26/08/2024 15:26";CET;144;10453.74;72.01;26/08/2024
"CRCAM ATL.VEND.CCI";FR0000185506;CRAV;"Euronext Paris";EUR;81.94;82.44;80.01;82.44;"26/08/2024 17:35";CET;219;17814.49;82.44;26/08/2024
"CRCAM BRIE PIC2CCI";FR0010483768;CRBP2;"Euronext Paris";EUR;18.00;18.00;17.702;17.80;"26/08/2024 17:35";CET;6815;'121635.60;17.80;26/08/2024
"CRCAM ILLE-VIL.CCI";FR0000045213;CIV;"Euronext Paris";EUR;58.83;60.00;58.82;60.00;"26/08/2024 15:30";CET;210;12438.10;60.00;26/08/2024
